CellId,Average RSRP,Average SINR (dB)
1,1.49996e-09,54.8228
2,4.20425e-10,49.2989
3,8.09864e-11,42.1465
4,2.58078e-10,47.1799
5,1.75558e-10,45.5062
6,1.3957e-10,44.5102
7,7.58016e-11,41.8587
8,7.29384e-11,41.6917
9,2.66901e-10,47.3256
11,6.07406e-10,50.8967
12,4.08816e-10,49.1772
13,2.55797e-10,47.141
14,3.97864e-11,39.2366
15,2.41694e-10,46.8948
16,7.68805e-11,41.9202
17,3.56349e-11,38.5809
18,7.91245e-11,42.045
19,7.3938e-11,41.7513
20,4.35957e-10,49.4566
21,1.38886e-10,44.4885
22,1.24564e-10,44.0161
23,8.39567e-10,52.3027
24,1.22417e-10,43.9405
25,4.37743e-10,49.4742
