% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.081	22	1	1	9.38274	0
0.081	23	2	1	36.9938	0
0.081	24	3	1	94.5034	0
0.081	25	4	1	21.187	0
0.081	2	5	1	0.903813	0
0.081	12	13	1	1.00928	0
0.081	17	15	1	5.72154	0
0.081	14	16	1	0.1053	0
0.081	20	18	1	3.27319	0
0.081	6	20	1	25.1311	0
0.081	13	22	1	8.96377	0
0.081	18	25	1	0.874951	0
0.081	9	26	1	8.44354	0
0.081	16	27	1	1.61828	0
0.081	21	28	1	2.4575	0
0.081	1	31	1	2.56644	0
0.081	19	32	1	0.78656	0
0.081	5	33	1	1.48507	0
0.081	11	35	1	1.3049	0
0.081	8	36	1	6.00815	0
0.081	15	42	1	1.79637	0
0.081	4	43	1	6.95985	0
0.081	3	45	1	57.0107	0
0.082	7	7	2	0.728999	0
0.082	3	10	2	35.205	0
0.082	8	11	2	0.742834	0
0.082	5	17	2	2.62076	0
0.082	19	19	2	48.7799	0
0.082	16	21	2	3.82172	0
0.082	14	24	2	1.75594	0
0.082	2	29	2	2.98211	0
0.082	9	30	2	10.2847	0
0.082	15	39	2	3.84953	0
0.082	17	40	2	2.27924	0
0.082	12	41	2	13.3341	0
0.083	3	6	3	63.8329	0
0.083	7	14	3	14.5882	0
0.083	5	38	3	8.25906	0
0.084	5	8	4	20.0589	0
0.084	14	37	4	19.7732	0
0.087	3	9	7	2097.12	0
0.087	7	23	7	120.042	0
0.088	3	34	8	181.076	0
0.089	3	12	9	994.742	0
0.161	22	1	1	9.38274	0
0.161	23	2	1	36.9938	0
0.161	24	3	1	94.5034	0
0.161	25	4	1	21.187	0
0.161	2	5	1	0.903813	0
0.161	12	13	1	1.00928	0
0.161	17	15	1	5.72154	0
0.161	14	16	1	0.1053	0
0.161	20	18	1	3.27319	0
0.161	6	20	1	25.1311	0
0.161	13	22	1	8.96377	0
0.161	18	25	1	0.874951	0
0.161	9	26	1	8.44354	0
0.161	16	27	1	1.61828	0
0.161	21	28	1	2.4575	0
0.161	1	31	1	2.56644	0
0.161	19	32	1	0.78656	0
0.161	5	33	1	1.48507	0
0.161	11	35	1	1.3049	0
0.161	8	36	1	6.00815	0
0.161	15	42	1	1.79637	0
0.161	4	43	1	6.95985	0
0.161	3	45	1	57.0107	0
0.162	7	7	2	0.728999	0
0.162	3	10	2	35.205	0
0.162	8	11	2	0.742834	0
0.162	5	17	2	2.62076	0
0.162	19	19	2	48.7799	0
0.162	16	21	2	3.82172	0
0.162	14	24	2	1.75594	0
0.162	2	29	2	2.98211	0
0.162	9	30	2	10.2847	0
0.162	15	39	2	3.84953	0
0.162	17	40	2	2.27924	0
0.162	12	41	2	13.3341	0
0.163	3	6	3	63.8329	0
0.163	7	14	3	14.5882	0
0.163	5	38	3	8.25906	0
0.164	5	8	4	20.0423	0
0.164	14	37	4	1.57387	0
0.164	16	44	4	1.42496	0
0.167	3	9	7	2097.12	0
0.167	7	23	7	120.042	0
0.168	3	34	8	181.076	0
0.169	3	12	9	994.742	0
0.241	22	1	1	9.38274	0
0.241	23	2	1	36.9938	0
0.241	24	3	1	94.5034	0
0.241	25	4	1	21.187	0
0.241	2	5	1	0.903813	0
0.241	12	13	1	1.00928	0
0.241	17	15	1	5.72154	0
0.241	14	16	1	0.1053	0
0.241	20	18	1	3.27319	0
0.241	6	20	1	25.1311	0
0.241	13	22	1	8.96377	0
0.241	18	25	1	0.874951	0
0.241	9	26	1	8.44354	0
0.241	16	27	1	1.61828	0
0.241	21	28	1	2.4575	0
0.241	1	31	1	2.56644	0
0.241	19	32	1	0.78656	0
0.241	5	33	1	1.48507	0
0.241	11	35	1	1.3049	0
0.241	8	36	1	6.00815	0
0.241	15	42	1	1.79637	0
0.241	4	43	1	6.95985	0
0.241	3	45	1	57.0107	0
0.242	7	7	2	0.728999	0
0.242	3	10	2	35.205	0
0.242	8	11	2	0.742834	0
0.242	5	17	2	2.62076	0
0.242	19	19	2	48.7799	0
0.242	16	21	2	3.82172	0
0.242	14	24	2	1.75594	0
0.242	2	29	2	2.98211	0
0.242	9	30	2	10.2847	0
0.242	15	39	2	3.84953	0
0.242	17	40	2	2.27924	0
0.242	12	41	2	13.3341	0
0.243	3	6	3	63.8329	0
0.243	7	14	3	14.5882	0
0.243	5	38	3	8.25906	0
0.244	5	8	4	20.0423	0
0.244	14	37	4	1.57387	0
0.244	16	44	4	1.42496	0
0.247	3	9	7	2097.12	0
0.247	7	23	7	120.042	0
0.248	3	34	8	181.076	0
0.249	3	12	9	994.742	0
